 Retrying in 1 seconds
成功獲取交通號誌 '1253678773' 的相位總數: 4
時間: 1780s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1790s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1800s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1810s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1820s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1830s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1840s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1850s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1860s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1870s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1880s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1890s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1900s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1910s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1920s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1930s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1940s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1950s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1960s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1970s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1980s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1990s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2000s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2010s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2020s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2030s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2040s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2050s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2060s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2070s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2080s | 獎勵: -39.00 | Epsilon: 0.050
